author;year;publicationType;title
Andrew and Sirkin;2006;Original;Payback: Reaping the rewards of innovation
Applegate;2001;Original;E-business models: Making sense of the internet business landscape
Bienstock et al.;2002;Original;The complete taxonomy of web business models
Chatterjee;2013;Original;Simple rules for designing business models
Clemons;2009;Original;Business models for monetizing internet applications and web sites: Experience, theory, and predictions
Eisenmann;2001;Original;Internet business models: Texts and cases
Fleisch et al.;2014;Original;Business models and the internet of things
Gassmann et al.;2014;Original;The business model navigator: 55 Models that will revolutionise your business
Hanson;2000;Original;Principles of internet marketing
Hartman et al.;2000;Original;Net ready: Strategies for success in the E-conomy
Johnson;2009;Original;Business model analogies
Johnson;2010;Original;Seizing the white space: Business model innovation for growth and renewal
Linder and Cantrell;2000;Original;Changing business models: Surveying the landscape
Osterwalder et al.;2010;Original;Business model generation: A handbook for visionaries, game changers, and challengers
Rappa;2001;Original;Managing the digital enterprise-Business models on the Web
Strauss and Frost;2014;Original;E-marketing
Tapscott et al.;2000;Original;Digital capital: Harnessing the power of business webs
Timmers;1998;Original;Business models for electronic markets
Tuff and Wunker;2010;Original;Beacons for business model innovation
Weill and Vitale;2001;Original;Place to space: Migrating to ebusiness models
Weill et al.;2005;Original;Business model management
Wirtz et al.;2010;Original;Strategic development of business models: Implications of the Web 2.0 for creating value on the internet
Becker et al.;2012;Original;Evolving taxonomy of business models for mobile service delivery platform
Camisón and Villar-López;2010;Original;Business models in Spanish industry: A taxonomy-based efficacy analysis
Ghezzi;2012;Original;Emerging business models and strategies for mobile platform providers: A reference framework
Hodge and Cagle;2004;Original;Business-To-Business e-business models: Classification and textile industry implications
Kujala et al.;2010;Original;Business models in project-based firms—Towards a typology of solution-specific business models
Remané et al.;2017;Review;The Business Model Pattern Database: A Tool for Systematic BMI
Weking et al.;2018;Review;A hierarchical taxonomy of business model patterns
Abdelfaki et al.;2013;Review;Business model innovations for electric mobility—What can be learned from existing business model patterns?
Afuah and Tucci;2000;Review;Internet business models and strategies: Text and cases
Bonakdar;2013;Review;Business model innovation. Leveraging existing logics for future opportunities
Hedman and Kalling;2003;Review;The business model concept: Theoretical underpinnings and empirical illustrations
Lam and Harrison-Walker;2003;Review;Toward an objective-based typology of e-business models
Zott et al.;2010;Review;The business model: Theoretical roots, recent developments, and future research
